pdb_id	release_date	resolution	est_tokens	n_protein_entities	n_rna_entities	max_protein_len	max_rna_len	protein_chains	rna_chains	title	series	in_temporal15
9owu	2026-06-10	2.93	533	1	2	116	417	B:116	C,E:92;A:417	Structure of Geobacillus stearothermophilus RNase P holoenzyme in complex with precursor tRNA in 1 mM Ca2+	rnase_p	no
9owv	2026-06-10	3.02	533	1	2	116	417	B:116	C:78;A:417	Structure of Geobacillus stearothermophilus RNase P holoenzyme in complex with mature tRNA in 5 mM Ca2+	rnase_p	no
9z7q	2026-07-15	3.0	650	6	1	612	38	I:438;H:376;F,G:140;C,D,E:315;B:360;A:612	N:38	Cryo-EM Structure of the Type III-Bv CRISPR Complex from Dissulfurispira thermophila bound to a crRNA	crispr_iii_bv	yes
9z7x	2026-07-15	2.9	650	6	2	612	38	I:438;H:376;F,G:140;C,D,E:315;B:360;A:612	N:38;J:36	Cryo-EM Structure of the Type III-Bv CRISPR Complex from Dissulfurispira thermophila bound to target RNA with non-complementary PFS	crispr_iii_bv	no
9z7v	2026-07-15	3.0	650	6	2	612	38	I:438;H:376;F,G:140;C,D,E:315;B:360;A:612	N:38;J:36	Cryo-EM Structure of the Type III-Bv CRISPR Complex from Dissulfurispira thermophila bound to target RNA with complementary PFS	crispr_iii_bv	no
11hx	2026-06-03	2.67	674	1	2	441	233	A:441	B:233;C:28	IscB-TID truncated and wRNA bound to Target ssRNA	iscb	yes
30gt	2026-06-17	3.3	788	5	1	695	93	K,L,M,N,O,P,Q:333;I,J:432;H:237;G:695;A,B,C,D,E,F:350	1:93	Cryo-EM structure of the PseCascade-TniQ-TnsC complex	psecascade	yes
9wn8	2026-07-01	2.81	833	2	1	750	83	A,E,I,M:374;B,F,J,N:750	C,G,K,O:83	Cryo-EM structure of the Retron-Eco8 complex in the presence of ATP	retron_eco8	yes
9lbq	2026-07-01	2.94	833	2	1	750	83	B,F,J,N:750;A,E,I,M:374	C,G,K,O:83	Cryo-EM structure of the Retron-Eco8 complex	retron_eco8	no
23or	2026-07-08	3.11	833	2	1	750	83	B,F,J,N:750;A,E,I,M:374	C,G,K,O:83	Cryo-EM structure of the Retron-Eco8-SSB complex	retron_eco8	no
10be	2026-06-03	3.02	896	1	2	873	23	A:873	B:23;C:18	Human AGO2 bound to a miR-20a guide and a position 10-11 mismatched target	human ago2 bound	yes
12sn	2026-06-24	3.38	1005	3	2	975	30	A:975;B,D:217;C:102	P:20;T:30	SARS-CoV-2 RNA-dependent RNA polymerase in complex with 4'-FlA nucleotide analogue	sars cov 2	yes
9q16	2026-06-17	2.7	1618	4	1	1167	451	C:163;G:129;F:126;A:1167	B:451	Human telomerase catalytic core with shelterin protein TPP1, dGpNHpp and DNA primer ending in TTAG	telomerase	yes
9q12	2026-06-17	2.8	1618	4	1	1167	451	C:163;G:126;F:129;A:1167	B:451	Human telomerase catalytic core with shelterin protein TPP1 and DNA primer ending in TTAG	telomerase	no
9q10	2026-06-17	2.9	1618	4	1	1167	451	G:126;F:129;C:163;A:1167	B:451	Human telomerase catalytic core with shelterin protein TPP1, dTpNHpp and DNA primer ending in AGGG	telomerase	no
9q11	2026-06-17	2.9	1618	4	1	1167	451	A:1167;G:126;F:129;C:163	B:451	Human telomerase catalytic core with shelterin protein TPP1, BIBR1532, dTpNHpp and DNA primer ending in AGGG	telomerase	no
9q14	2026-06-17	3.0	1618	4	1	1167	451	A:1167;G:126;F:129;C:163	B:451	Human telomerase catalytic core with shelterin protein TPP1, BIBR1532 and DNA primer ending in TTAG	telomerase	no
9q0z	2026-06-17	3.1	1618	4	1	1167	451	C:163;G:129;F:126;A:1167	B:451	Human telomerase catalytic core with shelterin protein TPP1, BIBR1532 and DNA primer ending in AGGG	telomerase	no
9q17	2026-06-17	3.3	1618	4	1	1167	451	G:129;F:126;C:163;A:1167	B:451	Class I (T1D0+) of Human telomerase catalytic core with shelterin protein TPP1, BIBR1532, dGpNHpp and DNA primer ending in TTAG	telomerase	no
9q18	2026-06-17	3.3	1618	4	1	1167	451	G:126;F:129;C:163;A:1167	B:451	"Class II (""T0D0"") of Human telomerase catalytic core with shelterin protein TPP1, BIBR1532, dGpNHpp and DNA primer ending in TTAG"	telomerase	no
9q19	2026-06-17	3.4	1618	4	1	1167	451	G:129;F:126;C:163;A:1167	B:451	Class III (T1D0) of Human telomerase catalytic core with shelterin protein TPP1, BIBR1532, dGpNHpp and DNA primer ending in TTAG	telomerase	no
