knn_f1,knn_precision,knn_recall,knn_tp,n_map_p,n_map_r,n_pool_pdbs,n_pool_with_contacts,nearest_train_protein,neighbor_definition,protein_identity,status,thr,train_fraction,val_case
0.0,,,,,,20,18,,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct10,6qw6_Y_N
0.0,,,,,,20,18,,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct10,6s6b_K_L
0.0,,,,,,20,18,,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct10,6wnv_N_YA
0.0,,,,,,20,18,,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct10,7bhp_OA_A
0.0,,,,,,20,18,1hnw,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.22992700729927007,skipped_low_identity,0.4,pct10,7c08_A_C
0.0,,,,,,20,18,9gan,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.2589928057553957,skipped_low_identity,0.4,pct10,7n3o_A_B
0.0,,,,,,20,18,,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct10,7orl_B_A
0.0,,,,,,20,18,,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct10,7p7u_V_J
0.0,,,,,,20,18,6kqg,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.27942998760842624,skipped_low_identity,0.4,pct10,7py3_D_G
0.0,,,,,,20,18,5ef0,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.2641509433962264,skipped_low_identity,0.4,pct10,7q3l_G_E
0.0,,,,,,20,18,4gzy,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.2917562724014337,skipped_low_identity,0.4,pct10,7rim_G_C
0.0,,,,,,20,18,,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct10,7uwe_F_A
0.0,,,,,,20,18,,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct10,7uzx_A_H
0.0,,,,,,20,18,,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct10,7v9u_A_D
0.0,,,,,,20,18,,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct10,7y7q_A_D
0.0,,,,,,20,18,,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct10,8b0j_A_G
0.0,,,,,,20,18,8exy,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.3027859237536657,skipped_low_identity,0.4,pct10,8bws_E_S
0.0,,,,,,20,18,6tc3,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.22916666666666666,skipped_low_identity,0.4,pct10,8g4i_T_A
0.0,,,,,,20,18,1hnw,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.25970149253731345,skipped_low_identity,0.4,pct10,8h67_E_B
0.0,,,,,,20,18,,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct10,8i0w_WA_I
0.7692307692307693,1.0,0.625,20,1029,5,20,18,8exy,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.46431095406360423,scored,0.4,pct10,8k59_A_I
0.0,,,,,,20,18,6lu0,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.2699724517906336,skipped_low_identity,0.4,pct10,8k5p_A_L
0.0,,,,,,20,18,,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct10,8pkl_G_H
0.0,,,,,,20,18,9op3,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.2667946257197697,skipped_low_identity,0.4,pct10,8u72_N_B
0.0,,,,,,20,18,5ef0,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.29333333333333333,skipped_low_identity,0.4,pct10,9h9n_G_A
0.0,,,,,,20,18,9hdq,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.2665764546684709,skipped_low_identity,0.4,pct10,9jwk_A_B
0.0,,,,,,20,18,7xc7,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.26411290322580644,skipped_low_identity,0.4,pct10,9k11_D_C
0.0,,,,,,20,18,,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct10,9k31_A_C
0.0,,,,,,20,18,6kqg,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.2572289156626506,skipped_low_identity,0.4,pct10,9kbz_A_C
0.0,,,,,,20,18,,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct10,9mna_C_E
0.0,,,,,,20,18,,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct10,9oy8_B_A
0.0,,,,,,20,18,,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct10,9pij_J_F
0.0,,,,,,20,18,8bh9,best protein-seq identity within frozen pct10 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.26186830015313933,skipped_low_identity,0.4,pct10,9yck_B_C
0.0,,,,,,50,45,,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct25,1m5p_G_C
0.0,,,,,,50,45,,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct25,1m8w_F_D
0.0,,,,,,50,45,4m30,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.27184466019417475,skipped_low_identity,0.4,pct25,21bh_G_M
0.0,,,,,,50,45,,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct25,2b2d_C_A
0.0,,,,,,50,45,,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct25,3bo4_D_A
0.28571428571428575,0.3333333333333333,0.25,6,1096,9,50,45,8ukr,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.9681697612732095,scored,0.4,pct25,3gtm_B_M
0.0,,,,,,50,45,,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct25,3ud4_A_B
0.7916666666666666,0.8142857142857143,0.7702702702702703,57,24,1492,50,45,4v5g,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.96,scored,0.4,pct25,4dv1_U_A
0.0,,,,,,50,45,2ec0,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.36007462686567165,skipped_low_identity,0.4,pct25,4k4s_A_D
0.0,,,,,,50,45,,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct25,5dox_TA_FA
0.0,0.0,0.0,0,608,19,50,45,8g7v,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.890190336749634,scored,0.4,pct25,5f9f_A_B
0.0,,,,,,50,45,,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct25,5v7q_X_G
0.0,,,,,,50,45,,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct25,6g4s_S_A
0.0,,,,,,50,45,7x34,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.2803030303030303,skipped_low_identity,0.4,pct25,6hct_G_E
0.0,,,,,,50,45,,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct25,6n8m_H_A
0.0,,,,,,50,45,,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct25,6nut_A_B
0.0,,,,,,50,45,5ef0,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.29069767441860467,skipped_low_identity,0.4,pct25,6ppp_C_A
0.0,,,,,,50,45,,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct25,6qw6_Y_N
0.0,,,,,,50,45,,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct25,6s6b_K_L
0.0,,,,,,50,45,,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct25,6wnv_N_YA
0.0,,,,,,50,45,,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct25,7bhp_OA_A
0.0,,,,,,50,45,4m30,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.25650557620817843,skipped_low_identity,0.4,pct25,7c08_A_C
0.0,,,,,,50,45,9rw0,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.2687074829931973,skipped_low_identity,0.4,pct25,7n3o_A_B
0.0,,,,,,50,45,,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct25,7orl_B_A
0.0,,,,,,50,45,,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct25,7p7u_V_J
0.0,,,,,,50,45,6kqg,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.27942998760842624,skipped_low_identity,0.4,pct25,7py3_D_G
0.0,,,,,,50,45,5ef0,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.2641509433962264,skipped_low_identity,0.4,pct25,7q3l_G_E
0.8095238095238096,0.9444444444444444,0.7083333333333334,17,1123,9,50,45,8ukr,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.9946855624446412,scored,0.4,pct25,7rim_G_C
0.0,,,,,,50,45,,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct25,7uwe_F_A
0.0,,,,,,50,45,,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct25,7uzx_A_H
0.0,,,,,,50,45,,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct25,7v9u_A_D
0.0,,,,,,50,45,,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct25,7y7q_A_D
0.0,,,,,,50,45,,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct25,8b0j_A_G
0.25641025641025644,0.29411764705882354,0.22727272727272727,5,953,6,50,45,8ukr,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.41601255886970173,scored,0.4,pct25,8bws_E_S
0.0,,,,,,50,45,5gah,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.3181818181818182,skipped_low_identity,0.4,pct25,8g4i_T_A
0.0,,,,,,50,45,2wj8,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.26558891454965355,skipped_low_identity,0.4,pct25,8h67_E_B
0.0,,,,,,50,45,,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct25,8i0w_WA_I
0.7692307692307693,1.0,0.625,20,1047,5,50,45,8ehq,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.4756183745583039,scored,0.4,pct25,8k59_A_I
0.0,,,,,,50,45,6lu0,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.2699724517906336,skipped_low_identity,0.4,pct25,8k5p_A_L
0.0,,,,,,50,45,,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct25,8pkl_G_H
0.0,,,,,,50,45,9op3,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.2667946257197697,skipped_low_identity,0.4,pct25,8u72_N_B
0.0,,,,,,50,45,6i7v,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.29508196721311475,skipped_low_identity,0.4,pct25,9h9n_G_A
0.0,,,,,,50,45,9hdq,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.2665764546684709,skipped_low_identity,0.4,pct25,9jwk_A_B
0.0,,,,,,50,45,7xc7,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.26411290322580644,skipped_low_identity,0.4,pct25,9k11_D_C
0.0,,,,,,50,45,,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct25,9k31_A_C
0.0,,,,,,50,45,6kqg,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.2572289156626506,skipped_low_identity,0.4,pct25,9kbz_A_C
0.0,,,,,,50,45,,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct25,9mna_C_E
0.0,,,,,,50,45,,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct25,9oy8_B_A
0.0,,,,,,50,45,,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct25,9pij_J_F
0.0,,,,,,50,45,8bh9,best protein-seq identity within frozen pct25 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.26186830015313933,skipped_low_identity,0.4,pct25,9yck_B_C
0.0,,,,,,100,58,,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct50,1m5p_G_C
0.0,,,,,,100,58,,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct50,1m8w_F_D
0.0,,,,,,100,58,4m30,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.27184466019417475,skipped_low_identity,0.4,pct50,21bh_G_M
0.0,,,,,,100,58,,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct50,2b2d_C_A
0.0,,,,,,100,58,,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct50,3bo4_D_A
0.28571428571428575,0.3333333333333333,0.25,6,1096,9,100,58,8ukr,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.9681697612732095,scored,0.4,pct50,3gtm_B_M
0.0,,,,,,100,58,,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct50,3ud4_A_B
0.881118881118881,0.9130434782608695,0.8513513513513513,63,24,1493,100,58,2zm6,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,1.0,scored,0.4,pct50,4dv1_U_A
0.0,,,,,,100,58,2ec0,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.36007462686567165,skipped_low_identity,0.4,pct50,4k4s_A_D
0.0,,,,,,100,58,,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct50,5dox_TA_FA
0.0,0.0,0.0,0,608,19,100,58,8g7v,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.890190336749634,scored,0.4,pct50,5f9f_A_B
0.0,,,,,,100,58,,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct50,5v7q_X_G
0.0,,,,,,100,58,,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct50,6g4s_S_A
0.0,,,,,,100,58,7x34,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.2803030303030303,skipped_low_identity,0.4,pct50,6hct_G_E
0.0,,,,,,100,58,,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct50,6n8m_H_A
0.0,,,,,,100,58,,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct50,6nut_A_B
0.0,,,,,,100,58,5ef0,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.29069767441860467,skipped_low_identity,0.4,pct50,6ppp_C_A
0.0,,,,,,100,58,,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct50,6qw6_Y_N
0.0,,,,,,100,58,,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct50,6s6b_K_L
0.0,,,,,,100,58,,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct50,6wnv_N_YA
0.0,,,,,,100,58,,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct50,7bhp_OA_A
0.0,,,,,,100,58,4m30,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.25650557620817843,skipped_low_identity,0.4,pct50,7c08_A_C
0.0,,,,,,100,58,9rw0,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.2687074829931973,skipped_low_identity,0.4,pct50,7n3o_A_B
0.0,,,,,,100,58,,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct50,7orl_B_A
0.0,,,,,,100,58,,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct50,7p7u_V_J
0.0,,,,,,100,58,6kqg,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.27942998760842624,skipped_low_identity,0.4,pct50,7py3_D_G
0.0,,,,,,100,58,5ef0,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.2641509433962264,skipped_low_identity,0.4,pct50,7q3l_G_E
0.8095238095238096,0.9444444444444444,0.7083333333333334,17,1123,9,100,58,8ukr,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.9946855624446412,scored,0.4,pct50,7rim_G_C
0.0,,,,,,100,58,,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct50,7uwe_F_A
0.0,,,,,,100,58,,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct50,7uzx_A_H
0.0,,,,,,100,58,,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct50,7v9u_A_D
0.0,,,,,,100,58,,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct50,7y7q_A_D
0.0,,,,,,100,58,,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_sequences,,pct50,8b0j_A_G
0.25641025641025644,0.29411764705882354,0.22727272727272727,5,953,6,100,58,8ukr,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.41601255886970173,scored,0.4,pct50,8bws_E_S
0.0,,,,,,100,58,5gah,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.3181818181818182,skipped_low_identity,0.4,pct50,8g4i_T_A
0.0,,,,,,100,58,2wj8,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.26558891454965355,skipped_low_identity,0.4,pct50,8h67_E_B
0.0,,,,,,100,58,,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct50,8i0w_WA_I
0.7692307692307693,1.0,0.625,20,1047,5,100,58,8ehq,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.4756183745583039,scored,0.4,pct50,8k59_A_I
0.0,,,,,,100,58,6lu0,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.2699724517906336,skipped_low_identity,0.4,pct50,8k5p_A_L
0.0,,,,,,100,58,,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.0,missing_val_contacts,,pct50,8pkl_G_H
0.36666666666666664,0.4074074074074074,0.3333333333333333,11,398,17,100,58,8spo,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.7071428571428572,scored,0.4,pct50,8u72_N_B
0.0,,,,,,100,58,8idy,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.3275862068965517,skipped_low_identity,0.4,pct50,9h9n_G_A
0.0,,,,,,100,58,9hdq,best protein-seq identity within frozen pct50 pdb_list (among contact-exportable pool members); thr=0.4; S11-style partner identity,0.2665764546684709,skipped_low_identity,0.4,pct50,9jwk_A_B
