Train_fraction,case,method,status,F1_raw,F1_failure_aware,recall_failure_aware,n_recovered,n_native,n_predicted
10%,9k11_D_C,base,missing_prediction,,0.0,0.0,,,
10%,9k31_A_C,base,missing_prediction,,0.0,0.0,,,
10%,9kbz_A_C,base,missing_prediction,,0.0,0.0,,,
10%,9mna_C_E,base,missing_prediction,,0.0,0.0,,,
10%,9oy8_B_A,base,missing_prediction,,0.0,0.0,,,
10%,9pij_J_F,base,missing_prediction,,0.0,0.0,,,
10%,9yck_B_C,base,missing_prediction,,0.0,0.0,,,
10%,1m5p_G_C,psmp,evaluable,0.08403361344537816,0.08403361344537816,0.08333333333333333,5,60,59
10%,1m8w_F_D,psmp,evaluable,0.9111111111111111,0.9111111111111111,0.8913043478260869,41,46,44
10%,21bh_G_M,psmp,missing_prediction,,0.0,0.0,,,
10%,2b2d_C_A,psmp,missing_prediction,,0.0,0.0,,,
10%,3bo4_D_A,psmp,evaluable,0.014285714285714285,0.014285714285714285,0.01818181818181818,1,55,85
10%,3gtm_B_M,psmp,missing_prediction,,0.0,0.0,,,
10%,3ud4_A_B,psmp,evaluable,0.07272727272727274,0.07272727272727274,0.06896551724137931,4,58,52
10%,4dv1_U_A,psmp,missing_prediction,,0.0,0.0,,,
10%,4k4s_A_D,psmp,evaluable,0.058823529411764705,0.058823529411764705,0.25,2,8,60
10%,5dox_TA_FA,psmp,missing_prediction,,0.0,0.0,,,
10%,5f9f_A_B,psmp,missing_prediction,,0.0,0.0,,,
10%,5v7q_X_G,psmp,pipeline_error,,0.0,0.0,,,
10%,6g4s_S_A,psmp,missing_prediction,,0.0,0.0,,,
10%,6hct_G_E,psmp,evaluable,0.0,0.0,0.0,0,30,51
10%,6n8m_H_A,psmp,pipeline_error,,0.0,0.0,,,
10%,6nut_A_B,psmp,evaluable,0.0,0.0,0.0,0,49,11
10%,6ppp_C_A,psmp,evaluable,0.0,0.0,0.0,0,10,14
10%,6qw6_Y_N,psmp,evaluable,0.0,0.0,0.0,0,35,134
10%,6s6b_K_L,psmp,missing_prediction,,0.0,0.0,,,
10%,6wnv_N_YA,psmp,missing_prediction,,0.0,0.0,,,
10%,7bhp_OA_A,psmp,pipeline_error,,0.0,0.0,,,
10%,7c08_A_C,psmp,evaluable,0.04081632653061224,0.04081632653061224,0.045454545454545456,2,44,54
10%,7n3o_A_B,psmp,missing_prediction,,0.0,0.0,,,
10%,7orl_B_A,psmp,missing_prediction,,0.0,0.0,,,
10%,7p7u_V_J,psmp,pipeline_error,,0.0,0.0,,,
10%,7py3_D_G,psmp,missing_prediction,,0.0,0.0,,,
10%,7q3l_G_E,psmp,missing_prediction,,0.0,0.0,,,
10%,7rim_G_C,psmp,pipeline_error,,0.0,0.0,,,
10%,7uwe_F_A,psmp,missing_prediction,,0.0,0.0,,,
10%,7uzx_A_H,psmp,missing_prediction,,0.0,0.0,,,
10%,7v9u_A_D,psmp,evaluable,0.035555555555555556,0.035555555555555556,0.031007751937984496,4,129,96
10%,7y7q_A_D,psmp,missing_prediction,,0.0,0.0,,,
10%,8b0j_A_G,psmp,missing_prediction,,0.0,0.0,,,
10%,8bws_E_S,psmp,pipeline_error,,0.0,0.0,,,
10%,8g4i_T_A,psmp,missing_prediction,,0.0,0.0,,,
10%,8h67_E_B,psmp,evaluable,0.014705882352941176,0.014705882352941176,0.019230769230769232,1,52,84
10%,8i0w_WA_I,psmp,missing_prediction,,0.0,0.0,,,
10%,8k59_A_I,psmp,missing_prediction,,0.0,0.0,,,
10%,8k5p_A_L,psmp,missing_prediction,,0.0,0.0,,,
10%,8pkl_G_H,psmp,pipeline_error,,0.0,0.0,,,
10%,8u72_N_B,psmp,evaluable,0.016,0.016,0.016129032258064516,1,62,63
10%,9h9n_G_A,psmp,missing_prediction,,0.0,0.0,,,
10%,9jwk_A_B,psmp,missing_prediction,,0.0,0.0,,,
10%,9k11_D_C,psmp,missing_prediction,,0.0,0.0,,,
10%,9k31_A_C,psmp,missing_prediction,,0.0,0.0,,,
10%,9kbz_A_C,psmp,missing_prediction,,0.0,0.0,,,
10%,9mna_C_E,psmp,missing_prediction,,0.0,0.0,,,
10%,9oy8_B_A,psmp,missing_prediction,,0.0,0.0,,,
10%,9pij_J_F,psmp,missing_prediction,,0.0,0.0,,,
10%,9yck_B_C,psmp,missing_prediction,,0.0,0.0,,,
25%,1m5p_G_C,base,evaluable,0.0,0.0,0.0,0,60,67
25%,1m8w_F_D,base,missing_prediction,,0.0,0.0,,,
25%,21bh_G_M,base,missing_prediction,,0.0,0.0,,,
25%,2b2d_C_A,base,missing_prediction,,0.0,0.0,,,
25%,3bo4_D_A,base,missing_prediction,,0.0,0.0,,,
25%,3gtm_B_M,base,missing_prediction,,0.0,0.0,,,
25%,3ud4_A_B,base,evaluable,0.0,0.0,0.0,0,58,48
25%,4dv1_U_A,base,missing_prediction,,0.0,0.0,,,
25%,4k4s_A_D,base,missing_prediction,,0.0,0.0,,,
25%,5dox_TA_FA,base,missing_prediction,,0.0,0.0,,,
25%,5f9f_A_B,base,missing_prediction,,0.0,0.0,,,
25%,5v7q_X_G,base,pipeline_error,,0.0,0.0,,,
25%,6g4s_S_A,base,missing_prediction,,0.0,0.0,,,
25%,6hct_G_E,base,missing_prediction,,0.0,0.0,,,
25%,6n8m_H_A,base,pipeline_error,,0.0,0.0,,,
25%,6nut_A_B,base,evaluable,0.0,0.0,0.0,0,49,28
25%,6ppp_C_A,base,evaluable,0.0,0.0,0.0,0,10,16
25%,6qw6_Y_N,base,missing_prediction,,0.0,0.0,,,
25%,6s6b_K_L,base,missing_prediction,,0.0,0.0,,,
25%,6wnv_N_YA,base,missing_prediction,,0.0,0.0,,,
25%,7bhp_OA_A,base,pipeline_error,,0.0,0.0,,,
25%,7c08_A_C,base,evaluable,0.0,0.0,0.0,0,44,22
25%,7n3o_A_B,base,missing_prediction,,0.0,0.0,,,
25%,7orl_B_A,base,missing_prediction,,0.0,0.0,,,
25%,7p7u_V_J,base,pipeline_error,,0.0,0.0,,,
25%,7py3_D_G,base,missing_prediction,,0.0,0.0,,,
25%,7q3l_G_E,base,missing_prediction,,0.0,0.0,,,
25%,7rim_G_C,base,missing_prediction,,0.0,0.0,,,
25%,7uwe_F_A,base,missing_prediction,,0.0,0.0,,,
25%,7uzx_A_H,base,evaluable,0.0,0.0,0.0,0,49,71
25%,7v9u_A_D,base,evaluable,0.0,0.0,0.0,0,129,95
25%,7y7q_A_D,base,missing_prediction,,0.0,0.0,,,
25%,8b0j_A_G,base,missing_prediction,,0.0,0.0,,,
25%,8bws_E_S,base,missing_prediction,,0.0,0.0,,,
25%,8g4i_T_A,base,missing_prediction,,0.0,0.0,,,
25%,8h67_E_B,base,missing_prediction,,0.0,0.0,,,
25%,8i0w_WA_I,base,missing_prediction,,0.0,0.0,,,
25%,8k59_A_I,base,missing_prediction,,0.0,0.0,,,
25%,8k5p_A_L,base,missing_prediction,,0.0,0.0,,,
25%,8pkl_G_H,base,pipeline_error,,0.0,0.0,,,
25%,8u72_N_B,base,missing_prediction,,0.0,0.0,,,
25%,9h9n_G_A,base,missing_prediction,,0.0,0.0,,,
25%,9jwk_A_B,base,missing_prediction,,0.0,0.0,,,
25%,9k11_D_C,base,missing_prediction,,0.0,0.0,,,
25%,9k31_A_C,base,missing_prediction,,0.0,0.0,,,
25%,9kbz_A_C,base,missing_prediction,,0.0,0.0,,,
25%,9mna_C_E,base,missing_prediction,,0.0,0.0,,,
25%,9oy8_B_A,base,missing_prediction,,0.0,0.0,,,
25%,9pij_J_F,base,missing_prediction,,0.0,0.0,,,
25%,9yck_B_C,base,evaluable,0.01801801801801802,0.01801801801801802,0.020833333333333332,1,48,63
25%,1m5p_G_C,psmp,evaluable,0.0,0.0,0.0,0,60,52
25%,1m8w_F_D,psmp,evaluable,0.9230769230769231,0.9230769230769231,0.9130434782608695,42,46,45
25%,21bh_G_M,psmp,missing_prediction,,0.0,0.0,,,
25%,2b2d_C_A,psmp,evaluable,0.0,0.0,0.0,0,17,27
25%,3bo4_D_A,psmp,evaluable,0.0,0.0,0.0,0,55,66
25%,3gtm_B_M,psmp,missing_prediction,,0.0,0.0,,,
25%,3ud4_A_B,psmp,evaluable,0.06896551724137931,0.06896551724137931,0.06896551724137931,4,58,58
25%,4dv1_U_A,psmp,missing_prediction,,0.0,0.0,,,
25%,4k4s_A_D,psmp,evaluable,0.051948051948051945,0.051948051948051945,0.25,2,8,69
25%,5dox_TA_FA,psmp,missing_prediction,,0.0,0.0,,,
25%,5f9f_A_B,psmp,missing_prediction,,0.0,0.0,,,
25%,5v7q_X_G,psmp,pipeline_error,,0.0,0.0,,,
25%,6g4s_S_A,psmp,missing_prediction,,0.0,0.0,,,
25%,6hct_G_E,psmp,evaluable,0.024096385542168672,0.024096385542168672,0.03333333333333333,1,30,53
25%,6n8m_H_A,psmp,pipeline_error,,0.0,0.0,,,
25%,6nut_A_B,psmp,evaluable,0.15384615384615385,0.15384615384615385,0.12244897959183673,6,49,29
25%,6ppp_C_A,psmp,missing_prediction,,0.0,0.0,,,
25%,6qw6_Y_N,psmp,missing_prediction,,0.0,0.0,,,
25%,6s6b_K_L,psmp,missing_prediction,,0.0,0.0,,,
25%,6wnv_N_YA,psmp,missing_prediction,,0.0,0.0,,,
25%,7bhp_OA_A,psmp,pipeline_error,,0.0,0.0,,,
25%,7c08_A_C,psmp,evaluable,0.06593406593406594,0.06593406593406594,0.06818181818181818,3,44,47
25%,7n3o_A_B,psmp,missing_prediction,,0.0,0.0,,,
25%,7orl_B_A,psmp,missing_prediction,,0.0,0.0,,,
25%,7p7u_V_J,psmp,missing_prediction,,0.0,0.0,,,
25%,7py3_D_G,psmp,missing_prediction,,0.0,0.0,,,
25%,7q3l_G_E,psmp,missing_prediction,,0.0,0.0,,,
25%,7rim_G_C,psmp,pipeline_error,,0.0,0.0,,,
25%,7uwe_F_A,psmp,missing_prediction,,0.0,0.0,,,
25%,7uzx_A_H,psmp,evaluable,0.014184397163120565,0.014184397163120565,0.02040816326530612,1,49,92
25%,7v9u_A_D,psmp,evaluable,0.03773584905660377,0.03773584905660377,0.031007751937984496,4,129,83
25%,7y7q_A_D,psmp,missing_prediction,,0.0,0.0,,,
25%,8b0j_A_G,psmp,evaluable,0.0,0.0,0.0,0,47,161
25%,8bws_E_S,psmp,pipeline_error,,0.0,0.0,,,
25%,8g4i_T_A,psmp,missing_prediction,,0.0,0.0,,,
25%,8h67_E_B,psmp,missing_prediction,,0.0,0.0,,,
25%,8i0w_WA_I,psmp,missing_prediction,,0.0,0.0,,,
25%,8k59_A_I,psmp,missing_prediction,,0.0,0.0,,,
25%,8k5p_A_L,psmp,missing_prediction,,0.0,0.0,,,
25%,8pkl_G_H,psmp,pipeline_error,,0.0,0.0,,,
25%,8u72_N_B,psmp,evaluable,0.0,0.0,0.0,0,62,88
25%,9h9n_G_A,psmp,missing_prediction,,0.0,0.0,,,
25%,9jwk_A_B,psmp,missing_prediction,,0.0,0.0,,,
25%,9k11_D_C,psmp,missing_prediction,,0.0,0.0,,,
25%,9k31_A_C,psmp,missing_prediction,,0.0,0.0,,,
25%,9kbz_A_C,psmp,missing_prediction,,0.0,0.0,,,
25%,9mna_C_E,psmp,missing_prediction,,0.0,0.0,,,
25%,9oy8_B_A,psmp,missing_prediction,,0.0,0.0,,,
25%,9pij_J_F,psmp,missing_prediction,,0.0,0.0,,,
25%,9yck_B_C,psmp,evaluable,0.02702702702702703,0.02702702702702703,0.020833333333333332,1,48,26
50%,1m5p_G_C,base,evaluable,0.0,0.0,0.0,0,60,57
50%,1m8w_F_D,base,evaluable,0.04444444444444444,0.04444444444444444,0.043478260869565216,2,46,44
50%,21bh_G_M,base,evaluable,0.0,0.0,0.0,0,55,48
50%,2b2d_C_A,base,missing_prediction,,0.0,0.0,,,
50%,3bo4_D_A,base,evaluable,0.0,0.0,0.0,0,55,55
50%,3gtm_B_M,base,missing_prediction,,0.0,0.0,,,
50%,3ud4_A_B,base,evaluable,0.07547169811320754,0.07547169811320754,0.06896551724137931,4,58,48
50%,4dv1_U_A,base,missing_prediction,,0.0,0.0,,,
50%,4k4s_A_D,base,evaluable,0.08219178082191782,0.08219178082191782,0.375,3,8,65
50%,5dox_TA_FA,base,missing_prediction,,0.0,0.0,,,
50%,5f9f_A_B,base,missing_prediction,,0.0,0.0,,,
50%,5v7q_X_G,base,pipeline_error,,0.0,0.0,,,
50%,6g4s_S_A,base,missing_prediction,,0.0,0.0,,,
50%,6hct_G_E,base,evaluable,0.0,0.0,0.0,0,30,43
50%,6n8m_H_A,base,pipeline_error,,0.0,0.0,,,
50%,6nut_A_B,base,evaluable,0.0,0.0,0.0,0,49,50
50%,6ppp_C_A,base,missing_prediction,,0.0,0.0,,,
50%,6qw6_Y_N,base,evaluable,0.009009009009009009,0.009009009009009009,0.02857142857142857,1,35,187
50%,6s6b_K_L,base,missing_prediction,,0.0,0.0,,,
50%,6wnv_N_YA,base,missing_prediction,,0.0,0.0,,,
50%,7bhp_OA_A,base,pipeline_error,,0.0,0.0,,,
50%,7c08_A_C,base,evaluable,0.025974025974025976,0.025974025974025976,0.022727272727272728,1,44,33
50%,7n3o_A_B,base,missing_prediction,,0.0,0.0,,,
50%,7orl_B_A,base,missing_prediction,,0.0,0.0,,,
50%,7p7u_V_J,base,pipeline_error,,0.0,0.0,,,
50%,7py3_D_G,base,missing_prediction,,0.0,0.0,,,
50%,7q3l_G_E,base,missing_prediction,,0.0,0.0,,,
50%,7rim_G_C,base,pipeline_error,,0.0,0.0,,,
50%,7uwe_F_A,base,missing_prediction,,0.0,0.0,,,
50%,7uzx_A_H,base,evaluable,0.0,0.0,0.0,0,49,89
50%,7v9u_A_D,base,evaluable,0.0,0.0,0.0,0,129,71
50%,7y7q_A_D,base,missing_prediction,,0.0,0.0,,,
50%,8b0j_A_G,base,evaluable,0.0,0.0,0.0,0,47,195
50%,8bws_E_S,base,pipeline_error,,0.0,0.0,,,
50%,8g4i_T_A,base,missing_prediction,,0.0,0.0,,,
50%,8h67_E_B,base,evaluable,0.017699115044247787,0.017699115044247787,0.019230769230769232,1,52,61
50%,8i0w_WA_I,base,missing_prediction,,0.0,0.0,,,
50%,8k59_A_I,base,missing_prediction,,0.0,0.0,,,
50%,8k5p_A_L,base,missing_prediction,,0.0,0.0,,,
50%,8pkl_G_H,base,pipeline_error,,0.0,0.0,,,
50%,8u72_N_B,base,evaluable,0.013986013986013986,0.013986013986013986,0.016129032258064516,1,62,81
50%,9h9n_G_A,base,missing_prediction,,0.0,0.0,,,
50%,9jwk_A_B,base,missing_prediction,,0.0,0.0,,,
50%,9k11_D_C,base,missing_prediction,,0.0,0.0,,,
50%,9k31_A_C,base,missing_prediction,,0.0,0.0,,,
50%,9kbz_A_C,base,missing_prediction,,0.0,0.0,,,
50%,9mna_C_E,base,missing_prediction,,0.0,0.0,,,
50%,9oy8_B_A,base,missing_prediction,,0.0,0.0,,,
50%,9pij_J_F,base,missing_prediction,,0.0,0.0,,,
50%,9yck_B_C,base,evaluable,0.0,0.0,0.0,0,48,63
50%,1m5p_G_C,psmp,missing_prediction,,0.0,0.0,,,
50%,1m8w_F_D,psmp,evaluable,0.9111111111111111,0.9111111111111111,0.8913043478260869,41,46,44
50%,21bh_G_M,psmp,evaluable,0.0,0.0,0.0,0,55,14
50%,2b2d_C_A,psmp,evaluable,0.049999999999999996,0.049999999999999996,0.058823529411764705,1,17,23
50%,3bo4_D_A,psmp,evaluable,0.15625,0.15625,0.18181818181818182,10,55,73
50%,3gtm_B_M,psmp,missing_prediction,,0.0,0.0,,,
50%,3ud4_A_B,psmp,missing_prediction,,0.0,0.0,,,
50%,4dv1_U_A,psmp,missing_prediction,,0.0,0.0,,,
50%,4k4s_A_D,psmp,evaluable,0.024096385542168676,0.024096385542168676,0.125,1,8,75
50%,5dox_TA_FA,psmp,missing_prediction,,0.0,0.0,,,
50%,5f9f_A_B,psmp,missing_prediction,,0.0,0.0,,,
50%,5v7q_X_G,psmp,pipeline_error,,0.0,0.0,,,
50%,6g4s_S_A,psmp,missing_prediction,,0.0,0.0,,,
50%,6hct_G_E,psmp,evaluable,0.0,0.0,0.0,0,30,44
50%,6n8m_H_A,psmp,pipeline_error,,0.0,0.0,,,
50%,6nut_A_B,psmp,evaluable,0.023255813953488372,0.023255813953488372,0.02040816326530612,1,49,37
50%,6ppp_C_A,psmp,evaluable,0.0,0.0,0.0,0,10,22
50%,6qw6_Y_N,psmp,missing_prediction,,0.0,0.0,,,
50%,6s6b_K_L,psmp,missing_prediction,,0.0,0.0,,,
50%,6wnv_N_YA,psmp,missing_prediction,,0.0,0.0,,,
50%,7bhp_OA_A,psmp,pipeline_error,,0.0,0.0,,,
50%,7c08_A_C,psmp,evaluable,0.06666666666666665,0.06666666666666665,0.06818181818181818,3,44,46
50%,7n3o_A_B,psmp,missing_prediction,,0.0,0.0,,,
50%,7orl_B_A,psmp,missing_prediction,,0.0,0.0,,,
50%,7p7u_V_J,psmp,missing_prediction,,0.0,0.0,,,
50%,7py3_D_G,psmp,missing_prediction,,0.0,0.0,,,
50%,7q3l_G_E,psmp,missing_prediction,,0.0,0.0,,,
50%,7rim_G_C,psmp,pipeline_error,,0.0,0.0,,,
50%,7uwe_F_A,psmp,missing_prediction,,0.0,0.0,,,
50%,7uzx_A_H,psmp,missing_prediction,,0.0,0.0,,,
50%,7v9u_A_D,psmp,evaluable,0.009216589861751152,0.009216589861751152,0.007751937984496124,1,129,88
50%,7y7q_A_D,psmp,missing_prediction,,0.0,0.0,,,
50%,8b0j_A_G,psmp,evaluable,0.0,0.0,0.0,0,47,162
50%,8bws_E_S,psmp,missing_prediction,,0.0,0.0,,,
50%,8g4i_T_A,psmp,missing_prediction,,0.0,0.0,,,
50%,8h67_E_B,psmp,evaluable,0.02298850574712644,0.02298850574712644,0.019230769230769232,1,52,35
50%,8i0w_WA_I,psmp,missing_prediction,,0.0,0.0,,,
50%,8k59_A_I,psmp,missing_prediction,,0.0,0.0,,,
50%,8k5p_A_L,psmp,missing_prediction,,0.0,0.0,,,
50%,8pkl_G_H,psmp,pipeline_error,,0.0,0.0,,,
50%,8u72_N_B,psmp,evaluable,0.0,0.0,0.0,0,62,45
50%,9h9n_G_A,psmp,missing_prediction,,0.0,0.0,,,
50%,9jwk_A_B,psmp,missing_prediction,,0.0,0.0,,,
50%,9k11_D_C,psmp,missing_prediction,,0.0,0.0,,,
50%,9k31_A_C,psmp,missing_prediction,,0.0,0.0,,,
50%,9kbz_A_C,psmp,missing_prediction,,0.0,0.0,,,
50%,9mna_C_E,psmp,missing_prediction,,0.0,0.0,,,
50%,9oy8_B_A,psmp,missing_prediction,,0.0,0.0,,,
50%,9pij_J_F,psmp,missing_prediction,,0.0,0.0,,,
50%,9yck_B_C,psmp,evaluable,0.0,0.0,0.0,0,48,86
100%,1m5p_G_C,base,evaluable,0.0,0.0,0.0,0,60,51
100%,1m8w_F_D,base,evaluable,0.9347826086956522,0.9347826086956522,0.9347826086956522,43,46,46
100%,21bh_G_M,base,evaluable,0.0,0.0,0.0,0,55,48
100%,2b2d_C_A,base,evaluable,0.3125,0.3125,0.29411764705882354,5,17,15
100%,3bo4_D_A,base,evaluable,0.0,0.0,0.0,0,55,67
100%,3gtm_B_M,base,evaluable,0.0,0.0,0.0,0,24,42
100%,3ud4_A_B,base,evaluable,0.0,0.0,0.0,0,58,29
100%,4dv1_U_A,base,evaluable,0.02857142857142857,0.02857142857142857,0.02702702702702703,2,74,66
100%,4k4s_A_D,base,evaluable,0.0,0.0,0.0,0,8,58
100%,5dox_TA_FA,base,evaluable,0.0,0.0,0.0,0,58,107
100%,5f9f_A_B,base,evaluable,0.0,0.0,0.0,0,108,107
100%,5v7q_X_G,base,pipeline_error,,0.0,0.0,,,
100%,6g4s_S_A,base,missing_prediction,,0.0,0.0,,,
100%,6hct_G_E,base,evaluable,0.0,0.0,0.0,0,30,40
100%,6n8m_H_A,base,pipeline_error,,0.0,0.0,,,
100%,6nut_A_B,base,evaluable,0.025974025974025972,0.025974025974025972,0.02040816326530612,1,49,28
100%,6ppp_C_A,base,evaluable,0.0,0.0,0.0,0,10,12
100%,6qw6_Y_N,base,evaluable,0.0,0.0,0.0,0,35,138
100%,6s6b_K_L,base,evaluable,0.0,0.0,0.0,0,94,145
100%,6wnv_N_YA,base,evaluable,0.0,0.0,0.0,0,53,207
100%,7bhp_OA_A,base,pipeline_error,,0.0,0.0,,,
100%,7c08_A_C,base,evaluable,0.026315789473684213,0.026315789473684213,0.022727272727272728,1,44,32
100%,7n3o_A_B,base,evaluable,0.0,0.0,0.0,0,171,185
100%,7orl_B_A,base,evaluable,0.0,0.0,0.0,0,88,195
100%,7p7u_V_J,base,pipeline_error,,0.0,0.0,,,
100%,7py3_D_G,base,evaluable,0.0,0.0,0.0,0,36,57
100%,7q3l_G_E,base,evaluable,0.0,0.0,0.0,0,25,0
100%,7rim_G_C,base,pipeline_error,,0.0,0.0,,,
100%,7uwe_F_A,base,evaluable,0.0,0.0,0.0,0,31,27
100%,7uzx_A_H,base,evaluable,0.0,0.0,0.0,0,49,56
100%,7v9u_A_D,base,evaluable,0.0,0.0,0.0,0,129,83
100%,7y7q_A_D,base,evaluable,0.0,0.0,0.0,0,20,80
100%,8b0j_A_G,base,evaluable,0.0,0.0,0.0,0,47,114
100%,8bws_E_S,base,pipeline_error,,0.0,0.0,,,
100%,8g4i_T_A,base,evaluable,0.0,0.0,0.0,0,171,187
100%,8h67_E_B,base,evaluable,0.018181818181818184,0.018181818181818184,0.019230769230769232,1,52,58
100%,8i0w_WA_I,base,evaluable,0.0,0.0,0.0,0,135,159
100%,8k59_A_I,base,evaluable,0.0,0.0,0.0,0,32,8
100%,8k5p_A_L,base,evaluable,0.0,0.0,0.0,0,46,145
100%,8pkl_G_H,base,pipeline_error,,0.0,0.0,,,
100%,8u72_N_B,base,evaluable,0.0,0.0,0.0,0,62,29
100%,9h9n_G_A,base,evaluable,0.0,0.0,0.0,0,132,416
100%,9jwk_A_B,base,evaluable,0.010309278350515464,0.010309278350515464,0.009411764705882352,4,425,351
100%,9k11_D_C,base,evaluable,0.0,0.0,0.0,0,12,2
100%,9k31_A_C,base,evaluable,0.0,0.0,0.0,0,166,157
100%,9kbz_A_C,base,evaluable,0.0,0.0,0.0,0,118,218
100%,9mna_C_E,base,evaluable,0.0,0.0,0.0,0,29,1
100%,9oy8_B_A,base,evaluable,0.0,0.0,0.0,0,172,263
100%,9pij_J_F,base,evaluable,0.0,0.0,0.0,0,104,114
100%,9yck_B_C,base,evaluable,0.0106951871657754,0.0106951871657754,0.020833333333333332,1,48,139
100%,1m5p_G_C,psmp,evaluable,0.05357142857142857,0.05357142857142857,0.05,3,60,52
100%,1m8w_F_D,psmp,evaluable,0.8791208791208792,0.8791208791208792,0.8695652173913043,40,46,45
100%,21bh_G_M,psmp,evaluable,0.0,0.0,0.0,0,55,15
100%,2b2d_C_A,psmp,evaluable,0.34285714285714286,0.34285714285714286,0.35294117647058826,6,17,18
100%,3bo4_D_A,psmp,evaluable,0.22727272727272727,0.22727272727272727,0.2727272727272727,15,55,77
100%,3gtm_B_M,psmp,evaluable,0.0625,0.0625,0.041666666666666664,1,24,8
100%,3ud4_A_B,psmp,evaluable,0.05454545454545454,0.05454545454545454,0.05172413793103448,3,58,52
100%,4dv1_U_A,psmp,evaluable,0.0,0.0,0.0,0,74,56
100%,4k4s_A_D,psmp,evaluable,0.07407407407407408,0.07407407407407408,0.25,2,8,46
100%,5dox_TA_FA,psmp,evaluable,0.0,0.0,0.0,0,58,137
100%,5f9f_A_B,psmp,evaluable,0.0,0.0,0.0,0,108,122
100%,5v7q_X_G,psmp,pipeline_error,,0.0,0.0,,,
100%,6g4s_S_A,psmp,evaluable,0.0,0.0,0.0,0,113,561
100%,6hct_G_E,psmp,evaluable,0.019230769230769232,0.019230769230769232,0.03333333333333333,1,30,74
100%,6n8m_H_A,psmp,pipeline_error,,0.0,0.0,,,
100%,6nut_A_B,psmp,evaluable,0.0,0.0,0.0,0,49,19
100%,6ppp_C_A,psmp,evaluable,0.0,0.0,0.0,0,10,18
100%,6qw6_Y_N,psmp,evaluable,0.0,0.0,0.0,0,35,155
100%,6s6b_K_L,psmp,evaluable,0.02531645569620253,0.02531645569620253,0.02127659574468085,2,94,64
100%,6wnv_N_YA,psmp,evaluable,0.0,0.0,0.0,0,53,184
100%,7bhp_OA_A,psmp,pipeline_error,,0.0,0.0,,,
100%,7c08_A_C,psmp,evaluable,0.02197802197802198,0.02197802197802198,0.022727272727272728,1,44,47
