Train_fraction,case,subset,base_status,psmp_status,base_f1,psmp_f1,base_iflddt,psmp_iflddt,base_n_samples,psmp_n_samples,in_paired_intersection
25%,1m5p_G_C,dev40,evaluable,evaluable,0.0,0.05128205128205128,0.22879204281706658,0.3166371944092204,5,5,1
25%,1m8w_F_D,dev40,evaluable,evaluable,0.0,0.8695652173913043,0.7879371472639924,0.933243650411141,5,5,1
25%,21bh_G_M,spotlight10,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
25%,2b2d_C_A,dev40,evaluable,evaluable,0.15,0.0,0.50746891996892,0.3226592851592852,5,5,1
25%,3bo4_D_A,dev40,evaluable,evaluable,0.0,0.1889763779527559,0.26257692660615883,0.6226021246225465,5,5,1
25%,3gtm_B_M,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
25%,3ud4_A_B,spotlight10,evaluable,evaluable,0.01694915254237288,0.07692307692307693,0.3171570685777999,0.28757504590605765,5,5,1
25%,4dv1_U_A,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
25%,4k4s_A_D,spotlight10,evaluable,evaluable,0.16666666666666669,0.0,0.3611111111111111,0.3472222222222222,5,5,1
25%,5dox_TA_FA,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
25%,5f9f_A_B,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
25%,5v7q_X_G,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
25%,6g4s_S_A,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
25%,6hct_G_E,dev40,evaluable,evaluable,0.0,0.11594202898550725,0.21876599530052215,0.31272454456597676,5,5,1
25%,6n8m_H_A,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
25%,6nut_A_B,spotlight10,evaluable,evaluable,0.0,0.0,0.1997120977438377,0.1829551381074174,5,5,1
25%,6ppp_C_A,dev40,evaluable,evaluable,0.0,0.0,0.22723214285714288,0.2554563492063492,5,5,1
25%,6qw6_Y_N,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
25%,6s6b_K_L,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
25%,6wnv_N_YA,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
25%,7bhp_OA_A,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
25%,7c08_A_C,dev40,evaluable,evaluable,0.029850746268656712,0.07142857142857141,0.26431036227461036,0.29169385475970466,5,5,1
25%,7n3o_A_B,dev40,evaluable,evaluable,0.0,0.0,0.1903238579898675,0.18819938721413954,5,5,1
25%,7orl_B_A,dev40,evaluable,evaluable,0.0,0.0,0.16118526705236846,0.17714308362715248,5,5,1
25%,7p7u_V_J,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
25%,7py3_D_G,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
25%,7q3l_G_E,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
25%,7rim_G_C,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
25%,7uwe_F_A,dev40,evaluable,evaluable,0.0380952380952381,0.0,0.1605893965173884,0.13522823243918577,5,5,1
25%,7uzx_A_H,dev40,evaluable,evaluable,0.0,0.0,0.2539343054669427,0.2938162019130703,5,5,1
25%,7v9u_A_D,dev40,evaluable,evaluable,0.0,0.009615384615384616,0.2873677220587117,0.28924610779809706,5,5,1
25%,7y7q_A_D,spotlight10,evaluable,evaluable,0.0,0.0,0.18036493929351072,0.1807134333920048,5,5,1
25%,8b0j_A_G,dev40,evaluable,evaluable,0.0,0.0,0.19745490017229148,0.22202922379552814,5,5,1
25%,8bws_E_S,spotlight10,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
25%,8g4i_T_A,spotlight10,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
25%,8h67_E_B,dev40,evaluable,evaluable,0.0761904761904762,0.11510791366906475,0.2442948842534263,0.23783471259993044,5,5,1
25%,8i0w_WA_I,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
25%,8k59_A_I,spotlight10,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
25%,8k5p_A_L,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
25%,8pkl_G_H,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
25%,8u72_N_B,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
25%,9h9n_G_A,spotlight10,evaluable,evaluable,0.0,0.0,0.22888211901715616,0.23854145663472462,5,5,1
25%,9jwk_A_B,spotlight10,evaluable,evaluable,0.0,0.0,0.17780667208575301,0.17606367313000018,5,5,1
25%,9k11_D_C,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
25%,9k31_A_C,dev40,evaluable,evaluable,0.0,0.0,0.18702203166016154,0.1871678434679503,5,5,1
25%,9kbz_A_C,dev40,evaluable,evaluable,0.004842615012106537,0.0,0.2586611323362208,0.24454970699276318,5,5,1
25%,9mna_C_E,dev40,evaluable,evaluable,0.0,0.0,0.22841202778702777,0.216146423021423,5,5,1
25%,9oy8_B_A,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
25%,9pij_J_F,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
25%,9yck_B_C,dev40,evaluable,evaluable,0.0,0.0,0.2053258313944538,0.2037482530742608,5,5,1
50%,1m5p_G_C,dev40,evaluable,evaluable,0.0,0.08333333333333333,0.23566191156219654,0.3266548500928781,5,5,1
50%,1m8w_F_D,dev40,evaluable,evaluable,0.0,0.888888888888889,0.78244499569898,0.9302333268101634,5,5,1
50%,21bh_G_M,spotlight10,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
50%,2b2d_C_A,dev40,evaluable,evaluable,0.16216216216216214,0.21052631578947367,0.5312451437451438,0.5501359751359751,5,5,1
50%,3bo4_D_A,dev40,evaluable,evaluable,0.057971014492753624,0.0,0.29032232422928184,0.44622878690619905,5,5,1
50%,3gtm_B_M,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
50%,3ud4_A_B,spotlight10,evaluable,evaluable,0.06956521739130435,0.0925925925925926,0.29615940602365065,0.29283007022837737,5,5,1
50%,4dv1_U_A,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
50%,4k4s_A_D,spotlight10,evaluable,evaluable,0.0,0.0,0.3333333333333333,0.4861111111111111,5,5,1
50%,5dox_TA_FA,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
50%,5f9f_A_B,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
50%,5v7q_X_G,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
50%,6g4s_S_A,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
50%,6hct_G_E,dev40,evaluable,evaluable,0.029850746268656716,0.0,0.252362820825097,0.2923879855225763,5,5,1
50%,6n8m_H_A,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
50%,6nut_A_B,spotlight10,evaluable,evaluable,0.025316455696202528,0.0,0.20665303979334484,0.2085723769957963,5,5,1
50%,6ppp_C_A,dev40,evaluable,evaluable,0.1,0.0,0.269890873015873,0.24265873015873013,5,5,1
50%,6qw6_Y_N,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
50%,6s6b_K_L,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
50%,6wnv_N_YA,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
50%,7bhp_OA_A,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
50%,7c08_A_C,dev40,evaluable,evaluable,0.0,0.09302325581395349,0.2966117428624169,0.31091900274002515,5,5,1
50%,7n3o_A_B,dev40,evaluable,evaluable,0.0,0.0,0.1771397685645878,0.1874376613984661,5,5,1
50%,7orl_B_A,dev40,evaluable,evaluable,0.0,0.0,0.17788687717565313,0.17832941839943547,5,5,1
50%,7p7u_V_J,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
50%,7py3_D_G,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
50%,7q3l_G_E,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
50%,7rim_G_C,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
50%,7uwe_F_A,dev40,evaluable,evaluable,0.0,0.0,0.1655253524928981,0.16327822222852653,5,5,1
50%,7uzx_A_H,dev40,evaluable,evaluable,0.0,0.061224489795918366,0.2368152024976372,0.3280945609894273,5,5,1
50%,7v9u_A_D,dev40,evaluable,evaluable,0.0,0.0,0.27856245610678165,0.27734034294315996,5,5,1
50%,7y7q_A_D,spotlight10,evaluable,evaluable,0.0,0.0,0.1957840109625824,0.1888102638102638,5,5,1
50%,8b0j_A_G,dev40,evaluable,evaluable,0.0,0.0,0.21236875292581808,0.20555416051339967,5,5,1
50%,8bws_E_S,spotlight10,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
50%,8g4i_T_A,spotlight10,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
50%,8h67_E_B,dev40,evaluable,evaluable,0.0,0.028985507246376812,0.19001716231242052,0.21969764559906596,5,5,1
50%,8i0w_WA_I,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
50%,8k59_A_I,spotlight10,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
50%,8k5p_A_L,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
50%,8pkl_G_H,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
50%,8u72_N_B,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
50%,9h9n_G_A,spotlight10,evaluable,evaluable,0.0,0.0,0.2467293640536431,0.2198524331595356,5,5,1
50%,9jwk_A_B,spotlight10,evaluable,evaluable,0.006147540983606557,0.0025839793281653744,0.19166388395022602,0.1843497966637113,5,5,1
50%,9k11_D_C,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
50%,9k31_A_C,dev40,evaluable,evaluable,0.0,0.0,0.18297142303642513,0.20350013211194792,5,5,1
50%,9kbz_A_C,dev40,evaluable,missing_prediction_no_cif,0.0,,0.23180158058806885,,5,,0
50%,9mna_C_E,dev40,evaluable,missing_prediction_no_cif,0.0,,0.21330035705035708,,5,,0
50%,9oy8_B_A,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
50%,9pij_J_F,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
50%,9yck_B_C,dev40,evaluable,evaluable,0.0,0.0,0.1993890873969439,0.1794702134688867,5,5,1
100%,1m5p_G_C,dev40,evaluable,evaluable,0.0,0.05000000000000001,0.23198661825284841,0.3213361431909406,5,5,1
100%,1m8w_F_D,dev40,evaluable,evaluable,0.9361702127659574,0.9052631578947369,0.9654497684938509,0.9376722820650047,5,5,1
100%,21bh_G_M,spotlight10,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
100%,2b2d_C_A,dev40,evaluable,evaluable,0.0,0.0,0.4777195027195027,0.4712995337995337,5,5,1
100%,3bo4_D_A,dev40,evaluable,evaluable,0.0,0.19834710743801653,0.27276628641249007,0.6188836278161634,5,5,1
100%,3gtm_B_M,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
100%,3ud4_A_B,spotlight10,evaluable,evaluable,0.0,0.06837606837606837,0.23674327563531072,0.2891504041384918,5,5,1
100%,4dv1_U_A,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
100%,4k4s_A_D,spotlight10,evaluable,evaluable,0.19047619047619047,0.0,0.4375,0.2986111111111111,5,5,1
100%,5dox_TA_FA,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
100%,5f9f_A_B,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
100%,5v7q_X_G,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
100%,6g4s_S_A,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
100%,6hct_G_E,dev40,evaluable,evaluable,0.029411764705882353,0.024096385542168672,0.2251291130367217,0.2672805375570721,5,5,1
100%,6n8m_H_A,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
100%,6nut_A_B,spotlight10,evaluable,evaluable,0.09523809523809522,0.0,0.22442761172969203,0.20605838754794484,5,5,1
100%,6ppp_C_A,dev40,evaluable,evaluable,0.0,0.0,0.20124007936507934,0.173015873015873,5,5,1
100%,6qw6_Y_N,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
100%,6s6b_K_L,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
100%,6wnv_N_YA,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
100%,7bhp_OA_A,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
100%,7c08_A_C,dev40,evaluable,evaluable,0.024390243902439025,0.04597701149425287,0.31386250205449123,0.3143627223300128,5,5,1
100%,7n3o_A_B,dev40,evaluable,evaluable,0.0,0.0,0.18601911860390524,0.18254104871592622,5,5,1
100%,7orl_B_A,dev40,evaluable,evaluable,0.0,0.0,0.18111266329275336,0.18999667379678234,5,5,1
100%,7p7u_V_J,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
100%,7py3_D_G,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
100%,7q3l_G_E,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
100%,7rim_G_C,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
100%,7uwe_F_A,dev40,evaluable,evaluable,0.0,0.0,0.14968652881938888,0.13876490030141148,5,5,1
100%,7uzx_A_H,dev40,evaluable,evaluable,0.0,0.01923076923076923,0.23196471270435573,0.2502566940785538,5,5,1
100%,7v9u_A_D,dev40,evaluable,evaluable,0.0,0.0,0.29580275107245557,0.27749605640000763,5,5,1
100%,7y7q_A_D,spotlight10,evaluable,evaluable,0.0,0.0,0.1712268551554266,0.19083231583231586,5,5,1
100%,8b0j_A_G,dev40,evaluable,evaluable,0.0,0.0,0.18712700343135125,0.20874046696057566,5,5,1
100%,8bws_E_S,spotlight10,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
100%,8g4i_T_A,spotlight10,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
100%,8h67_E_B,dev40,evaluable,evaluable,0.016528925619834708,0.01694915254237288,0.1889754611814517,0.23108303649035675,5,5,1
100%,8i0w_WA_I,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
100%,8k59_A_I,spotlight10,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
100%,8k5p_A_L,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
100%,8pkl_G_H,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
100%,8u72_N_B,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
100%,9h9n_G_A,spotlight10,evaluable,evaluable,0.0,0.005319148936170212,0.23294759989290306,0.23386036862334905,5,5,1
100%,9jwk_A_B,spotlight10,evaluable,evaluable,0.0,0.01076426264800861,0.183093906731795,0.1823992602511613,5,5,1
100%,9k11_D_C,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
100%,9k31_A_C,dev40,evaluable,evaluable,0.008928571428571428,0.020790020790020788,0.19580387005672875,0.19325475702788195,5,5,1
100%,9kbz_A_C,dev40,evaluable,evaluable,0.0,0.0,0.23875715249498974,0.2401207726782694,5,5,1
100%,9mna_C_E,dev40,evaluable,evaluable,0.0,0.0,0.2181425518925519,0.23313057313057314,5,5,1
100%,9oy8_B_A,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
100%,9pij_J_F,dev40,missing_prediction_no_cif,missing_prediction_no_cif,,,,,,,0
100%,9yck_B_C,dev40,evaluable,evaluable,0.019607843137254905,0.0,0.2104994842128529,0.1660493478007612,5,5,1
