Train_fraction,case,delta_f1,base_f1,psmp_f1,protein_identity,rna_identity,max_partner_identity,bin_max_partner,identity_definition
10%,7y7q_A_D,0.07685810810810809,0.03125000000000001,0.1081081081081081,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
10%,8b0j_A_G,0.0,0.0,0.0,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
10%,8h67_E_B,0.07633587786259544,0.0,0.07633587786259544,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
10%,9h9n_G_A,0.0,0.0,0.0,0.963,0.999,0.999,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
10%,9jwk_A_B,-0.00205761316872428,0.00205761316872428,0.0,0.25,0.0,0.25,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
10%,9k31_A_C,-0.004618937644341801,0.004618937644341801,0.0,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
10%,9kbz_A_C,0.003911154031868663,0.005263157894736842,0.009174311926605505,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
10%,9mna_C_E,0.0,0.0,0.0,0.966,0.969,0.969,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
10%,9yck_B_C,0.020833333333333332,0.0,0.020833333333333332,1.0,0.0,1.0,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
100%,1m5p_G_C,0.05000000000000001,0.0,0.05000000000000001,0.957,0.0,0.957,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
100%,1m8w_F_D,-0.030907054871220474,0.9361702127659574,0.9052631578947369,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
100%,2b2d_C_A,0.0,0.0,0.0,0.934,0.0,0.934,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
100%,3bo4_D_A,0.19834710743801653,0.0,0.19834710743801653,0.95,0.0,0.95,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
100%,3ud4_A_B,0.06837606837606837,0.0,0.06837606837606837,0.954,0.989,0.989,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
100%,4k4s_A_D,-0.19047619047619047,0.19047619047619047,0.0,0.722,0.0,0.722,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
100%,6hct_G_E,-0.00531537916371368,0.029411764705882353,0.024096385542168672,0.613,0.0,0.613,"[0.4,0.7)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
100%,6nut_A_B,-0.09523809523809522,0.09523809523809522,0.0,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
100%,6ppp_C_A,0.0,0.0,0.0,0.488,0.0,0.488,"[0.4,0.7)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
100%,7c08_A_C,0.021586767591813848,0.024390243902439025,0.04597701149425287,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
100%,7n3o_A_B,0.0,0.0,0.0,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
100%,7orl_B_A,0.0,0.0,0.0,0.967,0.0,0.967,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
100%,7uwe_F_A,0.0,0.0,0.0,0.952,0.0,0.952,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
100%,7uzx_A_H,0.01923076923076923,0.0,0.01923076923076923,0.701,0.0,0.701,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
100%,7v9u_A_D,0.0,0.0,0.0,0.245,0.0,0.245,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
100%,7y7q_A_D,0.0,0.0,0.0,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
100%,8b0j_A_G,0.0,0.0,0.0,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
100%,8h67_E_B,0.00042022692253817356,0.016528925619834708,0.01694915254237288,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
100%,9h9n_G_A,0.005319148936170212,0.0,0.005319148936170212,0.963,0.999,0.999,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
100%,9jwk_A_B,0.01076426264800861,0.0,0.01076426264800861,0.25,0.0,0.25,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
100%,9k31_A_C,0.01186144936144936,0.008928571428571428,0.020790020790020788,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
100%,9kbz_A_C,0.0,0.0,0.0,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
100%,9mna_C_E,0.0,0.0,0.0,0.966,0.969,0.969,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
100%,9yck_B_C,-0.019607843137254905,0.019607843137254905,0.0,1.0,0.0,1.0,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
25%,1m5p_G_C,0.05128205128205128,0.0,0.05128205128205128,0.957,0.0,0.957,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
25%,1m8w_F_D,0.8695652173913043,0.0,0.8695652173913043,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
25%,2b2d_C_A,-0.15,0.15,0.0,0.934,0.0,0.934,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
25%,3bo4_D_A,0.1889763779527559,0.0,0.1889763779527559,0.95,0.0,0.95,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
25%,3ud4_A_B,0.05997392438070405,0.01694915254237288,0.07692307692307693,0.954,0.989,0.989,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
25%,4k4s_A_D,-0.16666666666666669,0.16666666666666669,0.0,0.722,0.0,0.722,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
25%,6hct_G_E,0.11594202898550725,0.0,0.11594202898550725,0.613,0.0,0.613,"[0.4,0.7)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
25%,6nut_A_B,0.0,0.0,0.0,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
25%,6ppp_C_A,0.0,0.0,0.0,0.488,0.0,0.488,"[0.4,0.7)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
25%,7c08_A_C,0.0415778251599147,0.029850746268656712,0.07142857142857141,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
25%,7n3o_A_B,0.0,0.0,0.0,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
25%,7orl_B_A,0.0,0.0,0.0,0.967,0.0,0.967,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
25%,7uwe_F_A,-0.0380952380952381,0.0380952380952381,0.0,0.952,0.0,0.952,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
25%,7uzx_A_H,0.0,0.0,0.0,0.701,0.0,0.701,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
25%,7v9u_A_D,0.009615384615384616,0.0,0.009615384615384616,0.245,0.0,0.245,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
25%,7y7q_A_D,0.0,0.0,0.0,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
25%,8b0j_A_G,0.0,0.0,0.0,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
25%,8h67_E_B,0.03891743747858856,0.0761904761904762,0.11510791366906475,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
25%,9h9n_G_A,0.0,0.0,0.0,0.963,0.999,0.999,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
25%,9jwk_A_B,0.0,0.0,0.0,0.25,0.0,0.25,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
25%,9k31_A_C,0.0,0.0,0.0,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
25%,9kbz_A_C,-0.004842615012106537,0.004842615012106537,0.0,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
25%,9mna_C_E,0.0,0.0,0.0,0.966,0.969,0.969,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
25%,9yck_B_C,0.0,0.0,0.0,1.0,0.0,1.0,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
50%,1m5p_G_C,0.08333333333333333,0.0,0.08333333333333333,0.957,0.0,0.957,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
50%,1m8w_F_D,0.888888888888889,0.0,0.888888888888889,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
50%,2b2d_C_A,0.04836415362731153,0.16216216216216214,0.21052631578947367,0.934,0.0,0.934,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
50%,3bo4_D_A,-0.057971014492753624,0.057971014492753624,0.0,0.95,0.0,0.95,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
50%,3ud4_A_B,0.023027375201288253,0.06956521739130435,0.0925925925925926,0.954,0.989,0.989,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
50%,4k4s_A_D,0.0,0.0,0.0,0.722,0.0,0.722,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
50%,6hct_G_E,-0.029850746268656716,0.029850746268656716,0.0,0.613,0.0,0.613,"[0.4,0.7)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
50%,6nut_A_B,-0.025316455696202528,0.025316455696202528,0.0,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
50%,6ppp_C_A,-0.1,0.1,0.0,0.488,0.0,0.488,"[0.4,0.7)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
50%,7c08_A_C,0.09302325581395349,0.0,0.09302325581395349,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
50%,7n3o_A_B,0.0,0.0,0.0,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
50%,7orl_B_A,0.0,0.0,0.0,0.967,0.0,0.967,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
50%,7uwe_F_A,0.0,0.0,0.0,0.952,0.0,0.952,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
50%,7uzx_A_H,0.061224489795918366,0.0,0.061224489795918366,0.701,0.0,0.701,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
50%,7v9u_A_D,0.0,0.0,0.0,0.245,0.0,0.245,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
50%,7y7q_A_D,0.0,0.0,0.0,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
50%,8b0j_A_G,0.0,0.0,0.0,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
50%,8h67_E_B,0.028985507246376812,0.0,0.028985507246376812,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
50%,9h9n_G_A,0.0,0.0,0.0,0.963,0.999,0.999,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
50%,9jwk_A_B,-0.003563561655441183,0.006147540983606557,0.0025839793281653744,0.25,0.0,0.25,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
50%,9k31_A_C,0.0,0.0,0.0,0.0,0.0,0.0,"[0,0.3)","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
50%,9yck_B_C,0.0,0.0,0.0,1.0,0.0,1.0,"[0.7,1.0]","Table S11 MMseqs2 partner identities; primary axis = max(protein_identity, rna_identity)"
