Train_fraction,identity_axis,bin,n_pair,mean_delta_f1,bootstrap_ci95_lo,bootstrap_ci95_hi,wilcoxon_p_onesided_greater,n_improve,n_worse,n_tie,identity_definition
50%,max_partner_identity,"[0.3,0.7)",2,-0.06492537313432836,-0.1,-0.029850746268656716,1.0,0,2,0,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
50%,max_partner_identity,"[0.7,1.0]",10,0.01579783374650979,-0.006757787535819572,0.038640413168036576,0.15625,4,1,5,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
50%,protein_identity,"[0,0.3)",10,0.09820176345975755,-0.002888001735164371,0.2781548306416115,0.15625,3,2,5,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
50%,protein_identity,"[0.3,0.4)",0,,,,,0,0,0,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
50%,protein_identity,"[0.4,0.7)",2,-0.06492537313432836,-0.1,-0.029850746268656716,1.0,0,2,0,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
50%,protein_identity,"[0.3,0.7)",2,-0.06492537313432836,-0.1,-0.029850746268656716,1.0,0,2,0,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
50%,protein_identity,"[0.7,1.0]",10,0.01579783374650979,-0.006757787535819572,0.038640413168036576,0.15625,4,1,5,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
50%,rna_identity,"[0,0.3)",20,0.04935589252963643,-0.009900778167500415,0.1487383302959488,0.18697239930462695,6,5,9,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
50%,rna_identity,"[0.3,0.4)",0,,,,,0,0,0,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
50%,rna_identity,"[0.4,0.7)",0,,,,,0,0,0,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
50%,rna_identity,"[0.3,0.7)",0,,,,,0,0,0,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
50%,rna_identity,"[0.7,1.0]",2,0.011513687600644126,0.0,0.023027375201288253,0.5,1,0,1,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
100%,max_partner_identity,"[0,0.3)",11,-0.0074102221441368805,-0.027535971721174238,0.006936979724793624,0.578125,4,2,5,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
100%,max_partner_identity,"[0.3,0.4)",0,,,,,0,0,0,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
100%,max_partner_identity,"[0.4,0.7)",2,-0.00265768958185684,-0.00531537916371368,0.0,1.0,0,1,1,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
100%,max_partner_identity,"[0.3,0.7)",2,-0.00265768958185684,-0.00531537916371368,0.0,1.0,0,1,1,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
100%,max_partner_identity,"[0.7,1.0]",11,0.011926278215234454,-0.037284228773590486,0.06380203818220348,0.234375,5,2,4,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
100%,protein_identity,"[0,0.3)",11,-0.0074102221441368805,-0.027535971721174238,0.006936979724793624,0.578125,4,2,5,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
100%,protein_identity,"[0.3,0.4)",0,,,,,0,0,0,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
100%,protein_identity,"[0.4,0.7)",2,-0.00265768958185684,-0.00531537916371368,0.0,1.0,0,1,1,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
100%,protein_identity,"[0.3,0.7)",2,-0.00265768958185684,-0.00531537916371368,0.0,1.0,0,1,1,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
100%,protein_identity,"[0.7,1.0]",11,0.011926278215234454,-0.037284228773590486,0.06380203818220348,0.234375,5,2,4,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
100%,rna_identity,"[0,0.3)",21,-0.0013968561758989988,-0.029971983190250465,0.025458070097222934,0.437664624573961,7,5,9,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
100%,rna_identity,"[0.3,0.4)",0,,,,,0,0,0,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
100%,rna_identity,"[0.4,0.7)",0,,,,,0,0,0,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
100%,rna_identity,"[0.3,0.7)",0,,,,,0,0,0,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
100%,rna_identity,"[0.7,1.0]",3,0.02456507243741286,0.0,0.06837606837606837,0.25,2,0,1,"S11 MMseqs2; protein_identity / rna_identity as deposited; max_partner_identity = max(protein, rna)"
