Train_fraction,case,base_status,psmp_status,in_paired_intersection
25%,9h9n_G_A,missing_prediction,missing_prediction,0
25%,9jwk_A_B,missing_prediction,missing_prediction,0
25%,9k11_D_C,missing_prediction,missing_prediction,0
25%,9k31_A_C,missing_prediction,missing_prediction,0
25%,9kbz_A_C,missing_prediction,missing_prediction,0
25%,9mna_C_E,missing_prediction,missing_prediction,0
25%,9oy8_B_A,missing_prediction,missing_prediction,0
25%,9pij_J_F,missing_prediction,missing_prediction,0
25%,9yck_B_C,evaluable,evaluable,1
50%,1m5p_G_C,evaluable,missing_prediction,0
50%,1m8w_F_D,evaluable,evaluable,1
50%,21bh_G_M,evaluable,evaluable,1
50%,2b2d_C_A,missing_prediction,evaluable,0
50%,3bo4_D_A,evaluable,evaluable,1
50%,3gtm_B_M,missing_prediction,missing_prediction,0
50%,3ud4_A_B,evaluable,missing_prediction,0
50%,4dv1_U_A,missing_prediction,missing_prediction,0
50%,4k4s_A_D,evaluable,evaluable,1
50%,5dox_TA_FA,missing_prediction,missing_prediction,0
50%,5f9f_A_B,missing_prediction,missing_prediction,0
50%,5v7q_X_G,missing_prediction,missing_prediction,0
50%,6g4s_S_A,missing_prediction,missing_prediction,0
50%,6hct_G_E,evaluable,evaluable,1
50%,6n8m_H_A,missing_prediction,missing_prediction,0
50%,6nut_A_B,evaluable,evaluable,1
50%,6ppp_C_A,missing_prediction,evaluable,0
50%,6qw6_Y_N,evaluable,missing_prediction,0
50%,6s6b_K_L,missing_prediction,missing_prediction,0
50%,6wnv_N_YA,missing_prediction,missing_prediction,0
50%,7bhp_OA_A,missing_prediction,missing_prediction,0
50%,7c08_A_C,evaluable,evaluable,1
50%,7n3o_A_B,missing_prediction,missing_prediction,0
50%,7orl_B_A,missing_prediction,missing_prediction,0
50%,7p7u_V_J,no_interface,missing_prediction,0
50%,7py3_D_G,missing_prediction,missing_prediction,0
50%,7q3l_G_E,missing_prediction,missing_prediction,0
50%,7rim_G_C,no_interface,no_interface,0
50%,7uwe_F_A,missing_prediction,missing_prediction,0
50%,7uzx_A_H,evaluable,missing_prediction,0
50%,7v9u_A_D,evaluable,evaluable,1
50%,7y7q_A_D,missing_prediction,missing_prediction,0
50%,8b0j_A_G,evaluable,evaluable,1
50%,8bws_E_S,no_interface,missing_prediction,0
50%,8g4i_T_A,missing_prediction,missing_prediction,0
50%,8h67_E_B,evaluable,evaluable,1
50%,8i0w_WA_I,missing_prediction,missing_prediction,0
50%,8k59_A_I,missing_prediction,missing_prediction,0
50%,8k5p_A_L,missing_prediction,missing_prediction,0
50%,8pkl_G_H,missing_prediction,missing_prediction,0
50%,8u72_N_B,evaluable,evaluable,1
50%,9h9n_G_A,missing_prediction,missing_prediction,0
50%,9jwk_A_B,missing_prediction,missing_prediction,0
50%,9k11_D_C,missing_prediction,missing_prediction,0
50%,9k31_A_C,missing_prediction,missing_prediction,0
50%,9kbz_A_C,missing_prediction,missing_prediction,0
50%,9mna_C_E,missing_prediction,missing_prediction,0
50%,9oy8_B_A,missing_prediction,missing_prediction,0
50%,9pij_J_F,missing_prediction,missing_prediction,0
50%,9yck_B_C,evaluable,evaluable,1
100%,1m5p_G_C,evaluable,evaluable,1
100%,1m8w_F_D,evaluable,evaluable,1
100%,21bh_G_M,evaluable,evaluable,1
100%,2b2d_C_A,evaluable,evaluable,1
100%,3bo4_D_A,evaluable,evaluable,1
100%,3gtm_B_M,evaluable,evaluable,1
100%,3ud4_A_B,evaluable,evaluable,1
100%,4dv1_U_A,evaluable,evaluable,1
100%,4k4s_A_D,evaluable,evaluable,1
100%,5dox_TA_FA,evaluable,evaluable,1
100%,5f9f_A_B,evaluable,evaluable,1
100%,5v7q_X_G,missing_prediction,missing_prediction,0
100%,6g4s_S_A,missing_prediction,evaluable,0
100%,6hct_G_E,evaluable,evaluable,1
100%,6n8m_H_A,missing_prediction,missing_prediction,0
100%,6nut_A_B,evaluable,evaluable,1
100%,6ppp_C_A,evaluable,evaluable,1
100%,6qw6_Y_N,evaluable,evaluable,1
100%,6s6b_K_L,evaluable,evaluable,1
100%,6wnv_N_YA,evaluable,evaluable,1
100%,7bhp_OA_A,missing_prediction,missing_prediction,0
100%,7c08_A_C,evaluable,evaluable,1
100%,7n3o_A_B,evaluable,evaluable,1
100%,7orl_B_A,evaluable,evaluable,1
100%,7p7u_V_J,no_interface,no_interface,0
100%,7py3_D_G,evaluable,missing_prediction,0
100%,7q3l_G_E,evaluable,evaluable,1
100%,7rim_G_C,no_interface,no_interface,0
100%,7uwe_F_A,evaluable,missing_prediction,0
100%,7uzx_A_H,evaluable,evaluable,1
100%,7v9u_A_D,evaluable,evaluable,1
100%,7y7q_A_D,evaluable,evaluable,1
100%,8b0j_A_G,evaluable,evaluable,1
100%,8bws_E_S,no_interface,no_interface,0
100%,8g4i_T_A,evaluable,evaluable,1
100%,8h67_E_B,evaluable,evaluable,1
100%,8i0w_WA_I,evaluable,evaluable,1
100%,8k59_A_I,evaluable,missing_prediction,0
100%,8k5p_A_L,evaluable,evaluable,1
100%,8pkl_G_H,missing_prediction,missing_prediction,0
100%,8u72_N_B,evaluable,evaluable,1
100%,9h9n_G_A,evaluable,evaluable,1
100%,9jwk_A_B,evaluable,evaluable,1
100%,9k11_D_C,evaluable,evaluable,1
100%,9k31_A_C,evaluable,evaluable,1
100%,9kbz_A_C,evaluable,evaluable,1
100%,9mna_C_E,evaluable,evaluable,1
100%,9oy8_B_A,evaluable,evaluable,1
100%,9pij_J_F,evaluable,evaluable,1
100%,9yck_B_C,evaluable,evaluable,1
